buchstabe	{'06828818-n'}
kaneel	{'11704791-n', '11705052-n'}
geschnitten	{'07653394-n', '01552519-v'}
beefsteak	{'07658168-n'}
bonbon	{'07597365-n', '07596684-n'}
pipa	{'01653975-n'}
norden	{'09052652-n'}
oklahoma	{'09131654-n'}
west	{'08682819-n'}
schwester	{'10595164-n'}
verwandt	{'07969695-n'}
verwandte	{'07969695-n'}
dermatitis	{'14224757-n'}
management	{'01133281-n'}
wasserpest	{'12614477-n', '12614962-n'}
fasern	{'03309808-n'}
kommunismus	{'06214744-n'}
bogen	{'02879718-n', '02733524-n'}
brückenpfeiler	{'03933933-n'}
viadukt	{'04532670-n'}
fußgängerbrücke	{'03379828-n'}
aalmolch	{'01638722-n'}
schlammteufel	{'01633406-n'}
aufmerksamkeit	{'04662951-n', '05611302-n'}
gewand	{'04532106-n'}
stil	{'05750163-n', '07066659-n'}
trend	{'05750163-n'}
mode	{'05750163-n', '05750657-n'}
kryptographie	{'00614489-n'}
erzengel	{'09539183-n'}
messen	{'00996969-n'}
salat	{'11986306-n', '07806221-n'}
sonne	{'09450454-n'}
galaxie	{'08271042-n'}
parameter	{'09469152-n'}
schalmei	{'04186624-n'}
heckelphon	{'03510866-n'}
grabstein	{'03455488-n'}
anden	{'09196611-n'}
kolumbianer	{'09698517-n'}
orinoco	{'09379938-n'}
wega	{'09469912-n'}
ehemann	{'10193967-n'}
galgen	{'03413124-n'}
knesset	{'08319679-n'}
kiribati	{'08840749-n'}
nauru	{'08841209-n'}
konzertina	{'03086670-n'}
ödem	{'14316714-n'}
möbelstück	{'03405725-n'}
regal	{'04190052-n'}
schach	{'00503237-n'}
kaninchennasenbeutler	{'01876667-n'}
gehen	{'01927903-v', '01904930-v', '01927447-v'}
spazierengehen	{'01904930-v'}
wandern	{'01926031-v'}
dichtung	{'04159354-n', '01926031-v'}
finnland	{'08779504-n'}
sanikel	{'12943443-n'}
salzen	{'15010703-n'}
betonung	{'14435187-n', '06822198-n'}
umlaut	{'06823760-n'}
zirkumflex	{'06823102-n'}
macron	{'06823440-n'}
breve	{'06822831-n'}
tilde	{'06823561-n'}
bereit	{'14031523-n'}
tangelo	{'07748574-n'}
ugli	{'07748574-n'}
endung	{'06308765-n'}
suffix	{'06308987-n', '06308049-n'}
soldat	{'09902611-n', '09902353-n'}
infanterist	{'10204921-n'}
piaffe	{'00288384-n'}
paraffin	{'14926086-n'}
feindseligkeit	{'07547805-n'}
gefühl	{'07480068-n', '05712076-n', '00026192-n', '07481951-n'}
abscheu	{'07503430-n'}
druck	{'11429458-n'}
offiziell	{'10372076-n'}
epidermis	{'05240211-n'}
lederhaut	{'05243879-n'}
melanin	{'14757172-n'}
serbien	{'08816969-n'}
montenegro	{'08817235-n'}
belgrad	{'08817418-n'}
gips	{'14677778-n'}
karneol	{'14801594-n'}
sarder	{'15019734-n'}
chrysopras	{'14812233-n'}
heliotrop	{'14781631-n'}
blutstein	{'14781631-n'}
plasma	{'14992165-n'}
achat	{'14708232-n'}
onyx	{'14969523-n'}
glomerulonephritis	{'14116078-n'}
zuhause	{'03259505-n'}
flur	{'03719053-n', '03718581-n'}
bauernhaus	{'03322836-n'}
streichung	{'00659667-n'}
petrissage	{'00659834-n'}
tapotement	{'00660324-n'}
reflexzonenmassage	{'00659946-n'}
zoologie	{'06083243-n'}
lepidopterologie	{'06072476-n'}
handfläche	{'05565696-n'}
mittelhand	{'05593871-n'}
faust	{'05565064-n'}
imitator	{'10319163-n'}
stendelwurz	{'12062468-n'}
sein	{'09963320-n', '00004475-n'}
anlass	{'00007347-n'}
beatmung	{'00831191-n'}
atmung	{'00831191-n'}
übergang	{'07415730-n'}
veränderung	{'07296428-n', '07337390-n', '00126264-v', '10341660-n'}
elektrode	{'03274796-n'}
photokathode	{'03924407-n'}
stapeln	{'07961480-n'}
röhrling	{'13054560-n', '13055009-n'}
halsbandpekari	{'02397744-n'}
paarhufer	{'02394477-n'}
arsen	{'14629149-n'}
arie	{'07049514-n'}
handlung	{'14006945-n', '00952963-n', '07009640-n', '00407535-n', '00037396-n'}
übertitel	{'06347811-n'}
keratin	{'14732472-n'}
mann	{'02472293-n', '10582746-n', '10287213-n'}
nasopharynx	{'05528854-n'}
mundrachen	{'05529012-n'}
schlundrachen	{'05529159-n'}
licht	{'03665366-n', '11473954-n'}
sprachen	{'06282651-n', '06304059-n', '07109196-n'}
somalier	{'09749880-n'}
mogadischu	{'08998853-n'}
schachbrett	{'03011521-n'}
fleischfresser	{'02074915-n', '02075296-n'}
verteidigung	{'03171356-n'}
mauer	{'04051825-n'}
böschung	{'03282060-n', '03296328-n'}
bunker	{'02920503-n'}
hammerhai	{'01494475-n'}
sozialismus	{'08366202-n'}
faschismus	{'06217944-n', '08366440-n'}
neugeborenes	{'10353016-n'}
treue	{'04877530-n'}
germanium	{'14638517-n'}
irokesenschnitt	{'09661731-n'}
seneca	{'09668058-n'}
eriesee	{'09135447-n', '09655018-n'}
reiter	{'02377703-n', '09902353-n'}
moor	{'09452395-n', '09347779-n'}
sumpf	{'09347779-n'}
columbium	{'14647154-n'}
nil	{'09371360-n'}
kairo	{'08898633-n'}
gizeh	{'08899149-n'}
luxor	{'08899577-n'}
ägyptisch	{'09700492-n'}
assuan	{'08898457-n'}
malaysia	{'08963369-n'}
strophe	{'06384708-n', '07052291-n'}
mesenchym	{'01464441-n'}
reihenfolge	{'06503224-n'}
rochen	{'01495701-n'}
maul	{'05302499-n'}
schnabel	{'01758510-n', '01758308-n'}
flotte	{'08292756-n'}
umgebung	{'08567235-n', '13934596-n'}
rahmen	{'03391770-n'}
centime	{'13665965-n'}
glukosurie	{'14267722-n'}
blindwühle	{'01655344-n'}
pastinak	{'12941536-n'}
pomade	{'03980026-n'}
graf	{'09969218-n'}
lob	{'06693198-n'}
schlachtschiff	{'02812201-n', '03236093-n'}
gänsefuß	{'11828247-n'}
phenytoin	{'03203441-n'}
fügen	{'01291069-v'}
verbunden	{'01291069-v'}
nasenbeutler	{'01876326-n'}
seidenpflanze	{'13233727-n'}
serum	{'05403149-n'}
montage	{'03067912-n'}
collage	{'03067912-n'}
fiber	{'14866889-n'}
teilchen	{'09386422-n'}
empörung	{'07517737-n'}
hypersomnie	{'14023236-n'}
mangan	{'14644654-n'}
schote	{'13139055-n'}
humor	{'06776138-n'}
witz	{'06776138-n'}
lehnwort	{'06293460-n'}
brauch	{'00413239-n'}
bischof	{'09857200-n'}
metropolit	{'10313239-n'}
iran	{'08910668-n'}
bischofssitz	{'08586825-n'}
erzbistum	{'08550862-n'}
eparchie	{'08551296-n'}
jurisdiktion	{'08590369-n'}
streit	{'07181935-n'}
rechte	{'05174653-n'}
eiweiß	{'14728724-n'}
pepsin	{'14978729-n'}
polymerase	{'14984378-n'}
amylase	{'14735457-n'}
lipase	{'14938687-n'}
jakarta	{'08909719-n'}
javaner	{'10220080-n'}
texas	{'09141526-n'}
augenbohne	{'12578626-n'}
mungo	{'12578255-n', '02137549-n'}
ergosterol	{'15059404-n'}
base	{'14618253-n'}
abweichung	{'14501726-n'}
pipette	{'03247083-n'}
länge	{'05129201-n'}
radius	{'05102101-n'}
chrysolith	{'14812047-n'}
magnesium	{'14644249-n'}
baltimore	{'09094381-n'}
reihe	{'02703539-v', '04008385-n'}
gepäck	{'02774630-n'}
atherosklerose	{'14108713-n'}
sklerose	{'14110411-n'}
pullover	{'04021028-n'}
strickjacke	{'02963159-n'}
halsausschnitt	{'03815278-n'}
rollkragen	{'04502197-n'}
trinken	{'07881800-n', '07885223-n'}
mastkraut	{'11814238-n'}
gamasche	{'04027935-n', '04269822-n'}
hannoveraner	{'10159852-n'}
georg	{'10995592-n'}
nation	{'08166552-n', '08168978-n'}
frei	{'07947958-n'}
grottenolm	{'01634092-n'}
infinitiv	{'06318904-n'}
intransitiv	{'06331641-n'}
transitiv	{'06331281-n'}
partizip	{'06330528-n'}
konjugation	{'13804085-n'}
vorzeichen	{'07286014-n'}
reim	{'07096661-n', '06381869-n'}
detektiv	{'10009484-n'}
catechin	{'15067237-n'}
stuhl	{'14854262-n', '03001627-n'}
grasland	{'08598301-n'}
glykoproteine	{'14888310-n'}
besteigen	{'09359803-n'}
berg	{'09359803-n'}
isolierung	{'14414715-n'}
bürgermeister	{'10303814-n', '09880881-n'}
haft	{'13998576-n'}
phage	{'01334862-n'}
vektor	{'01372038-n'}
tellur	{'14657228-n'}
sänger	{'10599806-n'}
süßstoff	{'07858595-n'}
syrer	{'09733459-n'}
damaskus	{'09033936-n'}
aleppo	{'09034286-n'}
latakia	{'09034402-n'}
orgelpfeife	{'03945615-n'}
eidechsenfisch	{'02543565-n'}
route	{'04096066-n'}
fischadler	{'01616086-n'}
robe	{'04097866-n'}
doktrin	{'05943300-n'}
epizykloide	{'13909488-n'}
magen	{'05395690-n'}
regieren	{'15295416-n'}
pfeiler	{'03074380-n', '03073977-n'}
niederschlag	{'11494638-n', '11501381-n'}
esotropie	{'14506233-n'}
exotropie	{'14557573-n'}
friesland	{'08951513-n'}
extremität	{'05559908-n'}
glied	{'05559908-n'}
hundsgift	{'11767354-n'}
ändern	{'07296428-n'}
deletion	{'07425577-n'}
obstruktion	{'14507951-n'}
verstopfung	{'02853449-n', '14507951-n'}
organisation	{'08164585-n', '08008335-n'}
khoikhoi	{'06941479-n'}
produkt	{'03748886-n', '14997699-n'}
gravidität	{'14046861-n'}
kanone	{'02950256-n', '02950826-n'}
trockenheit	{'14536438-n'}
allergie	{'14532816-n'}
bioethik	{'06159777-n'}
vorrat	{'13777344-n'}
hasenglöckchen	{'12459275-n'}
beschlagnahme	{'00088481-n', '00085219-n'}
region	{'05221895-n', '08630039-n', '08630985-n', '08644722-n'}
baldrian	{'12950126-n'}
bestreben	{'00923444-n'}
portugal	{'08984788-n'}
bindegewebe	{'05582513-n'}
fatalismus	{'05971394-n'}
führung	{'01133281-n'}
durst	{'14040660-n'}
dinge	{'01220984-n'}
wahrnehmung	{'05710020-n'}
praxis	{'00671351-n', '00410247-n', '05667196-n'}
macht	{'05616246-n'}
standort	{'08651247-n'}
prophet	{'10102506-n'}
depression	{'14404160-n', '14389240-n'}
hamburger	{'07664007-n', '07697100-n'}
ekzem	{'14226056-n'}
neurodermitis	{'14224341-n'}
blühen	{'11669921-n'}
gondel	{'02960501-n'}
prallluftschiff	{'02850950-n'}
regenmantel	{'04049405-n', '03703590-n'}
wasserdicht	{'04049405-n'}
vanadium	{'14661020-n'}
wasserschlauch	{'12872458-n'}
führen	{'05826914-n', '00854876-n', '10162991-n', '01256743-n'}
bussard	{'01607962-n'}
trisaccharid	{'15080571-n'}
satsuma	{'07748276-n'}
ziel	{'05981230-n', '05982152-n'}
reiseziel	{'05981768-n'}
absicht	{'05982152-n'}
thorax	{'02665543-n'}
malachit	{'14680661-n'}
trommeln	{'03249569-n'}
augenblick	{'15246853-n'}
minute	{'15246853-n', '15234764-n'}
ketten	{'03000021-n'}
schnur	{'02999757-n', '03106110-n'}
halsband	{'03024882-n'}
brahman	{'02404573-n'}
overall	{'03121897-n'}
vasodilatator	{'04522904-n'}
methanol	{'14687818-n'}
diol	{'14835980-n'}
revolver	{'04086273-n'}
behandeln	{'00658082-n'}
gen	{'05436752-n'}
keks	{'07635155-n'}
eingelegt	{'00212414-v'}
nasal	{'07119211-n'}
alveolar	{'07115493-n'}
velar	{'07120025-n'}
krankenhaus	{'03540595-n'}
gewitter	{'11519253-n'}
schneesturm	{'11509570-n'}
sturm	{'11461825-n', '11527014-n'}
blizzard	{'11509570-n'}
hagelsturm	{'11465688-n'}
olecranon	{'05593654-n'}
messgerät	{'03753077-n'}
verkündigung	{'07243837-n'}
prisma	{'13884511-n'}
quader	{'13884930-n'}
rhomboeder	{'13915417-n'}
zwergfledermaus	{'02147947-n'}
bus	{'02924116-n'}
verfolgen	{'00884466-n', '02084071-n'}
bitterwurz	{'11860555-n'}
taube	{'01811909-n'}
spinat	{'11835568-n', '07736692-n'}
gemüse	{'12212361-n', '07707451-n'}
kontrafagott	{'03096439-n'}
voran	{'09284433-n'}
glasgow	{'08892971-n'}
hebriden	{'08893223-n'}
tipi	{'04412416-n'}
partyzelt	{'03900979-n'}
neonatologie	{'06061917-n'}
blende	{'02727141-n'}
karte	{'02962545-n', '06627006-n', '06793426-n', '03009920-n'}
anbetung	{'01028655-n'}
raupe	{'02309337-n'}
bärenspinner	{'02305245-n'}
wolke	{'09247410-n'}
pferdestute	{'02374451-n'}
relation	{'00031921-n'}
aufnahme	{'04063868-n', '01248191-n'}
videokassette	{'04533700-n'}
pilze	{'12992868-n', '12992464-n'}
quiche	{'07619594-n'}
physiologie	{'06080522-n'}
neurowissenschaften	{'06081833-n'}
honolulu	{'09078784-n'}
mihrab	{'03762434-n'}
felsenbirne	{'12623524-n'}
ansiedlung	{'08226699-n'}
dörfer	{'08226699-n'}
buchhaltung	{'00618734-n'}
robotik	{'06133654-n'}
frauenhaarfarn	{'13206817-n'}
spartanisch	{'09711661-n'}
wein	{'07891726-n'}
irokesen	{'09657887-n', '06916803-n'}
flyer	{'07250339-n'}
linse	{'03656484-n'}
dialyse	{'00649760-n'}
einzeln	{'00007846-n'}
begierde	{'07485475-n'}
mangel	{'07486229-n', '14449405-n', '14493426-n', '14463471-n'}
produktion	{'00924825-n', '00913705-n'}
wettbewerb	{'07456188-n'}
feuerung	{'03344509-n'}
medikament	{'03740161-n'}
arzneimittel	{'03740161-n'}
malve	{'12170585-n', '12170415-n'}
abelmoschus	{'12171750-n'}
buchweizen	{'07803310-n'}
archäologie	{'06144081-n'}
status	{'13920835-n'}
dominanz	{'14442530-n'}
beryllium	{'14631295-n'}
morganit	{'14955776-n'}
aquamarin	{'14767663-n'}
smaragd	{'14849655-n'}
gemeinschaft	{'08223802-n', '08227916-n', '01036333-n', '08229467-n'}
wasserfahrzeug	{'04530566-n'}
handbuch	{'06421685-n'}
verheiratung	{'13963970-n'}
polygynie	{'13967089-n'}
vielmännerei	{'13966795-n'}
vereinigung	{'13963970-n', '08304895-n'}
tropfstein	{'14936630-n'}
zahl	{'13582013-n', '06807198-n'}
paramaribo	{'09031061-n'}
würfeln	{'03144592-n'}
sechs	{'04225417-n'}
vier	{'03388826-n'}
fünf	{'03353783-n'}
benzin	{'14686913-n'}
naphthalin	{'14958564-n'}
ethan	{'14850826-n'}
regenbaum	{'11759853-n'}
erdhügel	{'03792048-n'}
hügel	{'09326662-n', '03792048-n'}
tube	{'04494204-n'}
chartreuse	{'07908923-n'}
stechwinde	{'12470512-n'}
sassaparille	{'12470092-n'}
frieden	{'13970236-n'}
hirnschädel	{'05540513-n'}
vögeln	{'05269901-n'}
oberkiefer	{'05546040-n'}
vomer	{'05610734-n'}
nördlich	{'11487950-n'}
mennoniten	{'09677561-n'}
brustkorb	{'05553288-n'}
brust	{'05553288-n', '05551711-n', '01591697-n'}
sternum	{'05281189-n'}
pustel	{'14334122-n'}
akne	{'14222112-n'}
milch	{'07844042-n', '05399034-n'}
pantoffeltierchen	{'01396048-n'}
dns	{'14830364-n'}
perianth	{'11692265-n'}
spross	{'11674914-n'}
stamen	{'11675096-n'}
karpell	{'11677743-n'}
fruchtknoten	{'11678635-n'}
stempel	{'11676500-n'}
humus	{'14908822-n'}
untergrund	{'14695838-n'}
tupelobaum	{'12340998-n'}
prakrit	{'06973092-n'}
hochzeit	{'13963970-n'}
grenader	{'09749260-n'}
bakterizid	{'02716205-n'}
zeitraum	{'13513747-n', '15113229-n'}
mangelernährung	{'14199700-n'}
flügel	{'02151625-n', '04592741-n'}
springschwanz	{'02163297-n'}
hautflügler	{'02206270-n', '02205896-n'}
käfer	{'02164464-n'}
mord	{'00220522-n'}
polysaccharid	{'14994004-n'}
maniok	{'12926480-n', '14761578-n'}
sago	{'15054607-n'}
behaarung	{'04683453-n'}
stärkemehl	{'15054467-n'}
kammer	{'03003730-n'}
karfiol	{'07715103-n'}
kaufen	{'00081572-n'}
fink	{'01529672-n'}
kalmus	{'11780930-n'}
schizophrenie	{'14398523-n'}
beißen	{'14287408-n'}
verwirrung	{'13975752-n'}
dolmetscher	{'10212501-n'}
übersetzer	{'10212501-n'}
immergrün	{'11772408-n', '11777929-n', '11777779-n'}
pestizid	{'14980215-n'}
parathion	{'15012214-n'}
affenpinscher	{'02110627-n'}
dimenhydrinat	{'03198951-n'}
promethazin	{'04010348-n'}
leder	{'14759722-n'}
kneipe	{'02796995-n'}
lokal	{'04018399-n', '02796995-n'}
ausdruck	{'07151380-n'}
schloss	{'03877845-n'}
rosskastanie	{'12768369-n'}
island	{'08953324-n'}
blattwespe	{'02218713-n'}
blütenstand	{'11674332-n'}
turin	{'08810220-n'}
stachelhäuter	{'02316707-n'}
gerinnungshemmend	{'02718259-n'}
pate	{'10134760-n', '10134982-n'}
patin	{'10134870-n'}
glaube	{'08081668-n', '05946687-n', '05941423-n'}
christentum	{'06226057-n'}
fischermarder	{'02450829-n'}
zobel	{'02450426-n'}
widerruf	{'00232386-n'}
alexandrit	{'14715679-n'}
reguliert	{'02510337-v', '00234988-v'}
regulieren	{'00234988-v'}
reduzieren	{'00233203-v'}
einstellen	{'00234988-v'}
klinik	{'03043274-n'}
station	{'04549919-n'}
jazz	{'07062697-n'}
spore	{'11547855-n'}
zwischenhirn	{'05496990-n'}
zahnwurzel	{'05308310-n'}
schneidezahn	{'05307641-n'}
zahnbein	{'05274446-n'}
pulpa	{'05308950-n'}
krone	{'11691046-n', '03138856-n', '05308141-n', '13128003-n'}
sternmiere	{'11817914-n'}
später	{'05306476-n'}
dentition	{'05282433-n'}
okra	{'12171966-n'}
marabu	{'02003204-n'}
jabiru	{'02004492-n'}
mohrenklaffschnabel	{'02003577-n'}
fluoreszenz	{'11458102-n'}
bühne	{'04296562-n'}
oper	{'03849814-n'}
orchestergraben	{'03853178-n'}
legierung	{'14586769-n'}
ethen	{'14851157-n'}
tempel	{'04407435-n', '04407686-n'}
chirurgie	{'00671351-n'}
mullah	{'10338231-n'}
übertragen	{'02232190-v', '00315986-n', '01107932-n'}
wand	{'04547592-n'}
grenze	{'02796623-n'}
hecke	{'03511175-n'}
befehlshaber	{'09941964-n'}
lage	{'08591680-n', '14411243-n'}
aldosteron	{'14752511-n'}
gattung	{'08108972-n'}
schlagen	{'01411085-v'}
auspeitschung	{'01411085-v'}
venedig	{'08813264-n'}
padua	{'08813156-n'}
marokko	{'14763059-n', '08969291-n'}
algerien	{'08705397-n'}
tunesien	{'09037394-n'}
kalebasse	{'12157769-n'}
osterluzei	{'11801392-n'}
eitelkeit	{'07508996-n'}
küste	{'09433839-n'}
strand	{'09428293-n', '09217230-n'}
chemotaxis	{'00862859-n'}
astigmatismus	{'14553590-n'}
vesikel	{'05517578-n'}
kurkuma	{'12356395-n', '12356255-n', '07821919-n'}
nucellus	{'11679250-n'}
mikropyle	{'11679378-n'}
kaugummi	{'14898470-n'}
gemessen	{'00489837-v'}
aktinolith	{'14725217-n'}
anthophyllit	{'14725444-n'}
asbest	{'14725591-n'}
befragung	{'07193958-n', '07193184-n'}
inquisition	{'07194676-n'}
geschworene	{'10228278-n'}
fieberrinde	{'12664710-n'}
zusammenfügung	{'07951464-n'}
trampeltier	{'02437136-n'}
nelkenwurz	{'12631331-n'}
schreibweise	{'06763273-n'}
wurf	{'00106272-n'}
sauerstoff	{'14648100-n'}
kapuzinerkresse	{'12719684-n'}
strauchmargerite	{'11925898-n'}
pampelmuse	{'07749969-n', '07750146-n'}
zitruspflanze	{'12707781-n'}
glaubwürdigkeit	{'04784525-n'}
seeteufel	{'07779747-n'}
weidenröschen	{'12342299-n', '12342498-n'}
jünger	{'09798811-n'}
anhänger	{'10099375-n', '10016103-n'}
wichita	{'09088989-n', '09671974-n'}
pawnee	{'09665218-n'}
sakrament	{'01034925-n'}
eintauchen	{'01038485-n'}
übergießen	{'01038147-n'}
aspersion	{'01038261-n'}
messer	{'03623556-n', '03624134-n'}
oberfläche	{'01264283-v', '04362025-n', '02688443-n'}
silber	{'14654954-n', '01395493-v'}
nickel	{'13390139-n', '01395663-v', '14646610-n'}
lösung	{'14589223-n'}
block	{'02852523-n', '02557199-v', '02853449-n'}
guinness	{'07890540-n'}
ale	{'07889510-n'}
süßigkeit	{'07596684-n'}
toffee	{'07609407-n'}
profit	{'13258362-n'}
einkommen	{'13258362-n'}
pica	{'14055977-n'}
amaryllis	{'12419037-n'}
psychologie	{'06136258-n'}
houston	{'09144851-n'}
dallas	{'09143786-n'}
austin	{'09143017-n'}
rot	{'09405949-n'}
colorado	{'09249418-n', '09250016-n'}
giraffe	{'02439033-n'}
gyrus	{'05492426-n'}
wicke	{'12575322-n'}
loben	{'06693198-n'}
eritreer	{'09705784-n'}
asmara	{'08777815-n'}
gurke	{'12165384-n'}
barrister	{'09840963-n'}
beruf	{'00582388-n', '10480253-n'}
staatsanwalt	{'10484858-n'}
haben	{'00094460-v'}
alphavirus	{'01332488-n'}
archaikum	{'15129220-n'}
proterozoikum	{'15128997-n'}
pfahlrohr	{'12109189-n'}
wächter	{'10150071-n', '09984298-n', '10271216-n'}
trommel	{'03249569-n'}
psychotherapie	{'06056923-n', '00700652-n'}
schokolade	{'04972451-n'}
sepia	{'01972411-n', '04973386-n'}
rotbraun	{'04974145-n'}
umbra	{'04972451-n'}
exophthalmus	{'14313017-n'}
gibraltarer	{'09749011-n'}
leier	{'03699280-n'}
wirksamkeit	{'05199286-n'}
erdbeere	{'07745940-n', '12630144-n'}
brombeere	{'07744811-n'}
himbeere	{'07745466-n'}
kleinkraftrad	{'03785016-n'}
sassafras	{'07816052-n'}
teigwaren	{'07698915-n'}
gesetz	{'06532330-n', '01125693-n', '08209687-n', '08441203-n'}
jurisprudenz	{'08441203-n'}
lesbianismus	{'00857424-n'}
video	{'04534127-n', '06277803-n'}
rohrkolben	{'12155583-n'}
cherub	{'09539730-n'}
hammer	{'03481521-n', '03481172-n'}
glocke	{'02824448-n', '03017168-n'}
meiose	{'13512725-n'}
entfernung	{'00393369-n'}
stützen	{'04359589-n'}
nikotin	{'14714817-n'}
koma	{'09251002-n', '05680193-n'}
waschbecken	{'02801525-n'}
henker	{'10159615-n'}
scharfrichter	{'10164997-n'}
alge	{'01397114-n'}
haiti	{'08751494-n'}
olympia	{'08790953-n'}
sparta	{'08787240-n'}
schnupftabak	{'04252939-n'}
fakir	{'10076307-n'}
bonobo	{'02482650-n'}
krähenfuß	{'12723610-n'}
blastocoel	{'01459242-n'}
embryo	{'01458842-n'}
blastocyste	{'01462042-n'}
trophoblast	{'01462209-n'}
bourbon	{'08154012-n', '07906718-n'}
hohenzollern	{'08155518-n'}
hannover	{'08154960-n'}
qin	{'08157182-n'}
han	{'08154703-n'}
song	{'08158741-n'}
yuan	{'08160146-n'}
mandschu	{'08157405-n'}
merowinger	{'08156200-n'}
york	{'08159924-n'}
haarschnitt	{'05257593-n'}
haar	{'05254795-n'}
pferdeschwanz	{'05260380-n'}
wellen	{'05259240-n', '00039488-v'}
löckchen	{'05257737-n'}
flechten	{'05259512-n'}
pony	{'02382437-n', '05258985-n'}
dutt	{'05259726-n'}
pagenschnitt	{'05260127-n'}
afro	{'05258889-n'}
twist	{'05259512-n'}
philharmoniker	{'08248856-n'}
landschaft	{'03640166-n', '08644722-n'}
polizei	{'08209687-n'}
fäustling	{'03775071-n'}
häm	{'15024997-n'}
ozeanographie	{'06119904-n'}
planarie	{'01925270-n'}
thrombophlebitis	{'14353862-n'}
tektonik	{'06118370-n'}
vorfertigung	{'00924825-n'}
herstellung	{'00924825-n'}
boston	{'09095751-n'}
stechmücke	{'02200630-n'}
beruhigungsmittel	{'04470232-n'}
clozapin	{'03053272-n'}
chlorpromazin	{'03023175-n'}
pelycosaurier	{'01721898-n'}
dimetrodon	{'01722670-n'}
gravur	{'00938791-n'}
ätzung	{'00938791-n'}
siebdruck	{'00939231-n'}
drucker	{'04004767-n'}
gilbweiderich	{'12095020-n'}
tor	{'03427296-n'}
tablett	{'04131929-n'}
verabredung	{'01231435-n'}
treffen	{'01230965-n'}
technologie	{'06125041-n'}
habicht	{'01606522-n'}
idylle	{'06379439-n'}
caracas	{'09162276-n'}
venezolaner	{'09747062-n'}
nachspeise	{'07609840-n'}
sadomasochismus	{'07494018-n'}
antiferromagnetismus	{'11479640-n'}
tradition	{'05667404-n'}
chinesisch	{'06929742-n'}
buch	{'07009946-n', '06636524-n', '01153861-n'}
zinn	{'14658855-n'}
provo	{'09147618-n'}
entenfuß	{'11700058-n'}
register	{'06507041-n'}
flieder	{'12310153-n'}
garnele	{'07794159-n'}
mehl	{'07567707-n', '07573696-n', '07569106-n'}
vorteil	{'13610426-n'}
start	{'00235435-n'}
trotz	{'07508486-n'}
wissenschaft	{'05999797-n'}
anwesenheit	{'13957601-n'}
umriss	{'08612786-n'}
koboldmaki	{'02501583-n'}
wanderfalke	{'01611472-n'}
krinoline	{'03132776-n'}
gerfalke	{'01611800-n'}
merlin	{'01612275-n'}
turmfalke	{'01612122-n'}
falke	{'01605630-n'}
brief	{'06624161-n'}
waldbrand	{'07304753-n'}
paradiesvogelblume	{'12354374-n'}
peyote	{'03750912-n'}
psilocybin	{'04017019-n'}
import	{'02346136-v'}
export	{'02346409-v'}
exportiert	{'02346409-v'}
mittelhandknochen	{'05277261-n'}
retinitis	{'14354960-n'}
kicker	{'10436851-n', '10230580-n'}
figur	{'07105475-n', '03335600-n'}
raute	{'12707199-n', '13882961-n'}
gartenhortensie	{'12788854-n'}
conakry	{'08947617-n'}
bagger	{'02769290-n'}
schicht	{'08591680-n'}
textilfaser	{'14866889-n'}
königsmakrele	{'02626265-n'}
sterilisierung	{'00253919-n'}
sterilisation	{'00253919-n'}
inflation	{'13498828-n'}
dollbord	{'04544805-n'}
louisiana	{'09090825-n'}
täglich	{'06267564-n'}
monatsblutung	{'13513747-n'}
feuilleton	{'06268784-n'}
zeitung	{'06267145-n', '06267655-n'}
hufschmied	{'09859152-n', '10079677-n'}
wal	{'02062744-n', '02062430-n'}
abbruch	{'00209943-n'}
fehlgeburt	{'00230324-n', '00230475-n'}
silberkärpfling	{'01449252-n'}
lagomorpha	{'02323186-n'}
verfolgung	{'00420477-n'}
brahma	{'09524921-n'}
vishnu	{'09529999-n'}
shiva	{'09528727-n'}
blei	{'14643467-n'}
hering	{'07784522-n', '02532028-n'}
hörnchen	{'02355227-n'}
besserungsanstalt	{'04069777-n'}
quetzal	{'01844551-n'}
spalte	{'03416329-n', '09258715-n'}
gedicht	{'06377442-n'}
hausmeister	{'09984298-n'}
flugzeug	{'02691156-n'}
shell	{'01101913-v'}
entfernen	{'02224055-v'}
husarenfische	{'01450661-n'}
fresszelle	{'05450740-n'}
österreich	{'08845555-n'}
deutsche	{'09747722-n'}
type	{'06825399-n'}
schriftart	{'06825399-n'}
fahne	{'06882009-n', '03354903-n'}
erz	{'14688500-n'}
rohstoff	{'14580897-n', '03309808-n'}
halit	{'14672224-n'}
pyrit	{'14692682-n'}
aragonit	{'14666758-n'}
kyanit	{'14679584-n'}
bleiglanz	{'14675910-n'}
binse	{'11743294-n'}
apatit	{'14666510-n'}
opal	{'14688234-n'}
pudding	{'07612996-n'}
sylvin	{'15065928-n'}
sphalerit	{'15107876-n'}
cuprit	{'14673325-n'}
kassiterit	{'14669927-n'}
chromit	{'14671125-n'}
etrusker	{'09716643-n'}
tachymeter	{'04383015-n'}
stimulans	{'04320126-n'}
kongress	{'08161757-n'}
kingston	{'08754238-n', '08827853-n'}
offizier	{'10317007-n'}
landung	{'00052500-n'}
orange	{'14991210-n', '07747607-n'}
zitrone	{'07749582-n'}
limette	{'07749731-n'}
zitronatzitrone	{'07750449-n'}
kumquat	{'07749446-n'}
ultrazentrifuge	{'02047500-v'}
rotieren	{'02068062-v'}
auflösung	{'13467916-n'}
